Date,Open,High,Low,Close,Volume
2024-01-01,100.0,104.69,97.49,98.28,80049
2024-01-02,98.28,99.71,95.65,99.48,87049
2024-01-03,99.48,102.15,97.65,102.11,69784
2024-01-04,102.11,105.55,97.49,100.3,93633
2024-01-05,100.3,102.3,96.42,98.01,60314
2024-01-06,98.01,102.93,93.17,101.2,105422
2024-01-07,101.2,105.3,99.72,100.75,66622
2024-01-08,100.75,103.21,98.16,102.28,92098
2024-01-09,102.28,104.74,97.5,103.38,77280
2024-01-10,103.38,108.34,99.69,107.27,74409
2024-01-11,107.27,110.99,106.03,108.12,96663
2024-01-12,108.12,109.86,106.01,107.23,105459
2024-01-13,107.23,109.66,102.59,108.2,96821
2024-01-14,108.2,109.85,106.94,108.65,70621
2024-01-15,108.65,112.31,104.92,111.27,112490
2024-01-16,111.27,115.82,106.66,107.34,63192
2024-01-17,107.34,110.8,106.24,108.78,86887
2024-01-18,108.78,109.89,104.3,106.32,83350
2024-01-19,106.32,108.04,105.15,106.45,79990
2024-01-20,106.45,107.77,105.26,106.84,118225
2024-01-21,106.84,109.02,105.3,105.58,73543
2024-01-22,105.58,109.7,100.93,106.67,53875
2024-01-23,106.67,110.85,104.51,105.76,92685
2024-01-24,105.76,108.13,100.78,103.59,117712
2024-01-25,103.59,108.38,99.97,105.38,64922
2024-01-26,105.38,109.97,101.34,103.09,64362
2024-01-27,103.09,104.86,101.96,103.17,85119
2024-01-28,103.17,106.51,101.11,102.66,110747
2024-01-29,102.66,105.09,99.46,102.76,106993
2024-01-30,102.76,104.82,99.46,101.19,71341
2024-01-31,101.19,102.88,99.4,101.19,94015
2024-02-01,101.19,103.18,98.55,102.16,62894
2024-02-02,102.16,106.09,99.79,100.13,95750
2024-02-03,100.13,104.05,97.46,100.19,103130
2024-02-04,100.19,104.3,97.66,100.48,69070
2024-02-05,100.48,102.38,97.88,100.83,67511
2024-02-06,100.83,102.71,99.15,99.67,106748
2024-02-07,99.67,102.88,97.93,98.88,63287
2024-02-08,98.88,103.66,95.95,96.88,98802
2024-02-09,96.88,100.77,94.09,99.16,116401
2024-02-10,99.16,100.46,94.89,99.0,107787
2024-02-11,99.0,100.17,96.66,99.53,86446
2024-02-12,99.53,103.23,95.46,96.19,56391
2024-02-13,96.19,101.1,91.76,92.45,91895
2024-02-14,92.45,93.79,88.99,92.87,80118
2024-02-15,92.87,95.55,89.47,93.07,90542
2024-02-16,93.07,97.55,90.94,91.51,76349
2024-02-17,91.51,94.1,88.15,89.02,107357
2024-02-18,89.02,93.72,86.01,90.03,78062
2024-02-19,90.03,94.12,86.65,88.76,115806
2024-02-20,88.76,90.85,85.13,89.92,93035
2024-02-21,89.92,91.02,88.08,90.88,64546
2024-02-22,90.88,94.68,89.06,93.05,63405
2024-02-23,93.05,94.56,88.66,94.14,108779
2024-02-24,94.14,98.65,91.3,95.64,64042
2024-02-25,95.64,98.03,91.99,96.07,115079
2024-02-26,96.07,97.85,93.17,96.0,71833
2024-02-27,96.0,98.31,92.8,93.89,112353
2024-02-28,93.89,97.24,90.63,93.49,64045
2024-02-29,93.49,96.93,90.77,91.69,103047
